concept,pred_count,pred_pct,avg_confidence,n_countries,most_common_parent
Bollard,78,2.479338842975207,0.16729368890325227,15,bollard_design
Roadlines,78,2.479338842975207,0.27564102640518773,14,road_line
Unique Car,52,1.6528925619834711,0.1808423212227913,9,car_type
Rifts,51,1.621106166560712,0.14509799287599676,7,camera_meta
Unique car,49,1.557533375715194,0.19650474517625205,14,car_meta
Mountains,47,1.4939605848696758,0.1155936803589476,11,landscape_mountains_temperate
Ten Digit Yellow Pole Codes,45,1.4303877940241576,0.237942322757509,1,pole_marker
Architecture,39,1.2396694214876034,0.11376912366503324,11,building_facade
Chevrons,37,1.1760966306420853,0.15406526202285611,13,chevron
trident,36,1.1443102352193262,0.080525619081325,13,pole_shape
Chilo Island,33,1.048951048951049,0.17453782525703762,9,Chilo Island
Bollards,29,0.9218054672600127,0.15732942328884683,11,bollard_shape
Baden-Wrttemberg,26,0.8264462809917356,0.11987735660603413,5,Baden-Wrttemberg
Architecture - Black Shingle Roof,25,0.7946598855689765,0.09819811642169952,3,building_roof
Landscape,25,0.7946598855689765,0.12789270758628846,4,landscape_desert
Catalan Language,19,0.6039415130324222,0.16781442259487353,4,script_catalan
Vibes,19,0.6039415130324222,0.15909121205147944,5,landscape_urban
NSW guardrail ending,19,0.6039415130324222,0.15245816895836278,1,vegetation_forest
Posadas,18,0.5721551176096631,0.12351151690300968,5,landscape_hills
Red Soil,18,0.5721551176096631,0.11768263061013487,5,landscape_soil_arid
Street name ending - tie,18,0.5721551176096631,0.09564743770493402,4,road_sign
Southern tree stands,18,0.5721551176096631,0.12831206785307991,1,buddhism
License Plates,17,0.540368722186904,0.10570626552490626,6,car_meta
Alps,17,0.540368722186904,0.13323118844453027,5,landscape_alpine
Short Dashes,16,0.5085823267641449,0.13254833524115384,2,road_dashed
South Germany Architecture ,16,0.5085823267641449,0.14830708736553788,3,building_facade
Pole Tops,15,0.47679593134138587,0.10155052194992702,6,pole_shape
Black Forest Architecture,15,0.47679593134138587,0.09919713884592056,4,building_facade
M letter sign,15,0.47679593134138587,0.15723316371440887,2,road_dirt
Low cam,15,0.47679593134138587,0.08337848385175069,4,landscape_alpine
Street Names,15,0.47679593134138587,0.09255433405439059,7,script_estonian
Alpine architecture,15,0.47679593134138587,0.1274866580963135,6,building_facade
Valais Bollards,15,0.47679593134138587,0.1302053098877271,4,landscape_alpine
KM Marker,15,0.47679593134138587,0.12240778530637424,4,road_marker
Snowpole,14,0.44500953591862685,0.09945575733269964,2,pole_marker
Pedestrian crossing sign,14,0.44500953591862685,0.11097453481384686,7,script_catalan
Sign Border,13,0.4132231404958678,0.11422022604025327,6,road_sign
Eucalyptus plantations,13,0.4132231404958678,0.10386742995335506,4,vegetation_forest_temperate
Poles,13,0.4132231404958678,0.09170036734296726,8,pole_shape
Fog 1,13,0.4132231404958678,0.09248747762579185,1,landscape_fog
"City Roads, Santa Cruz & Suburbs",12,0.3814367450731087,0.18381138145923615,3,road_urban
Weird roadlines,12,0.3814367450731087,0.1100764125585556,3,road_line
-Ach ending,12,0.3814367450731087,0.11041037210573752,5,script_latin
Bavaria Road Marker,12,0.3814367450731087,0.11594956864913304,5,Baden-Wrttemberg
Bay of Concepcin,12,0.3814367450731087,0.19221983353296915,5,Bay of Concepcin
Esmeraldas Province,12,0.3814367450731087,0.09720259563376506,3,landscape_hills_tropical
Cusco City,12,0.3814367450731087,0.10790447425097227,3,landscape_hills
Unique Architecture,11,0.34965034965034963,0.07801861011169174,3,building_facade
"Ruta 4, Vila Vila to Buena Vista",11,0.34965034965034963,0.1447092890739441,2,camera_meta
-Ow ending,11,0.34965034965034963,0.08650343323295767,5,script_latin
Pedestrian Signs,11,0.34965034965034963,0.1222953274846077,2,road_sign
Short outer lines,11,0.34965034965034963,0.13475688817826184,2,road_line
Cartago Blue Text,11,0.34965034965034963,0.11255803602662953,2,pole_marker
"Montenegro, North Macedonia, Serbia Shared Cyrillic Letters",11,0.34965034965034963,0.11693806404417212,2,script_cyrillic
