country,n_samples,top_predicted_concept,top_predicted_parent,n_unique_concepts,n_unique_parents,avg_concept_confidence,avg_parent_confidence
AE,120,Roadlines,road_line,29,21,0.18534789557258288,0.36822782723853986
AL,120,Rifts,landscape_mountains_temperate,45,33,0.11747282417491078,0.24245361567785342
AR,120,San Luis,road_dirt,57,46,0.15947894440032542,0.2896310246239106
AT,120,Bollard,landscape_alpine,46,25,0.13691228955673676,0.35299000901480515
EC,120,Esmeraldas Province,landscape_hills_tropical,71,32,0.09657979520658652,0.2775942828816672
AU,120,NSW guardrail ending,vegetation_forest,40,26,0.135839589809378,0.2792291481047869
BD,120,Southern tree stands,buddhism,31,17,0.1288712299739321,0.2651803975303968
BE,120,Architecture - Black Shingle Roof,building_facade,62,35,0.09357259864918888,0.2926111465319991
BO,120,"City Roads, Santa Cruz & Suburbs",landscape_hills,52,31,0.14724374208599328,0.2953532891348004
BG,120,Wind turbines,Park Prirode _umberak,74,33,0.08883654621119301,0.2536536632105708
BT,120,Architecture,building_facade,37,21,0.09151087030768394,0.29328618850558996
BR,120,Red Soil,landscape_hills_tropical,55,35,0.11119763432070613,0.2637289193769296
CH,120,Low cam,building_facade,50,27,0.10198209860051671,0.31125105476627746
CL,120,Chilo Island,Chilo Island,63,47,0.13395218787093957,0.2488558850561579
BW,120,Landscape,landscape_urban,35,29,0.12118136589415371,0.26425491521755856
CA,120,Manitoba bollards,road_sign,75,43,0.09630930170727273,0.23187255108108124
CO,120,Chilo Island,landscape_hills_tropical,76,40,0.10184726474496225,0.2901039240881801
DK,120,Bollard,bollard_design,55,35,0.10382050046076377,0.25670803726340335
CZ,120,Bollard,script_latin,61,28,0.09694270859472454,0.33143706259628136
CR,120,Ten Digit Yellow Pole Codes,pole_marker,39,23,0.15208056890405713,0.4152808565025528
EE,120,KM Marker,vegetation_forest_temperate,46,26,0.11182514009997249,0.3269031397998333
FI,120,Street name ending - tie,road_dirt,37,26,0.1239136265590787,0.2740305218535165
ES,120,Chevrons,chevron,63,36,0.11195955264071623,0.2519860956507424
DE,120,Baden-Wrttemberg,script_latin,63,28,0.11142484454127649,0.3448380061114828
FR,94,Architecture - Black Shingle Roof,building_roof,43,31,0.10646132534330195,0.2534707031272193
ES-ML,20,Catalan Language,script_catalan,5,2,0.14387529715895653,0.4123531483113766
AS,20,Unique Car,car_type,3,7,0.24170037116855383,0.28658161461353304
BM,20,Unique Car,car_type,8,7,0.13036349173635245,0.3025198943912983
ES-CE,20,Catalan Language,script_catalan,14,7,0.10994440522044897,0.3273029927164316
ES-CN,20,Canaries Diverse Landscapes,script_basque,13,10,0.1062773209065199,0.24285398423671722
CW,20,Unique Car,car_type,5,7,0.2037967037409544,0.3391186658293009
DO,20,Unique Car,car_type,11,10,0.16390194073319436,0.3460906822234392
AD,8,Kalea,building_facade,6,2,0.13041449058800936,0.35534519515931606
CC,8,Unique car,car_meta,1,2,0.21086969878524542,0.42555537819862366
CX,8,Unique car,car_meta,2,2,0.22685986757278442,0.3738480545580387
FO,8,"Faroe Islands, Iceland Shared Latin Letters",script_latin,4,5,0.1427013548091054,0.24664770159870386
